gene,IR1_S64_L001,IR1_S64_L002,IR2_S65_L001,IR2_S65_L002,IR3_S66_L001,IR3_S66_L002,IR4_S67_L001,IR4_S67_L002,IR5_S68_L001,IR5_S68_L002,IR6_S69_L001,IR6_S69_L002,IR7_S70_L001,IR7_S70_L002,IR8_S71_L001,IR8_S71_L002,IR9_S72_L001,IR9_S72_L002,RN1_S55_L001,RN1_S55_L002,RN2_S56_L001,RN2_S56_L002,RN3_S57_L001,RN3_S57_L002,RN4_S58_L001,RN4_S58_L002,RN5_S59_L001,RN5_S59_L002,RN6_S60_L001,RN6_S60_L002,RN7_S61_L001,RN7_S61_L002,RN8_S62_L001,RN8_S62_L002,RN9_S63_L001,RN9_S63_L002
LOC_Os01g01660.MSUR7,18,9,7,12,11,31,0,3,0,5,0,0,55,52,49,51,45,50,10,15,30,15,21,21,14,23,7,14,22,21,42,60,77,80,34,15
LOC_Os01g02010.MSUR7,49,57,49,75,81,74,9,7,20,16,20,0,179,156,160,162,155,160,12,13,44,24,40,42,46,50,48,71,43,57,191,179,229,245,61,83
LOC_Os01g02900.MSUR7,32,34,18,22,49,37,0,5,4,9,0,0,94,95,84,86,75,62,12,21,20,32,55,30,17,21,14,21,22,20,81,71,128,127,23,30
LOC_Os01g02930.MSUR7,25,18,22,13,40,34,0,9,0,10,0,0,43,49,45,36,56,39,15,9,19,14,22,15,26,18,15,14,15,7,43,30,57,85,14,21
LOC_Os01g02940.MSUR7,25,19,14,19,15,16,5,3,0,0,4,4,94,117,47,66,112,106,0,9,17,11,14,20,18,27,9,8,5,11,39,69,95,90,23,28
LOC_Os01g03330.MSUR7,111,119,147,141,139,139,38,27,29,34,20,20,166,173,204,200,135,120,232,212,264,236,287,276,144,184,150,139,132,129,101,118,82,104,95,80
LOC_Os01g03490.MSUR7,44,39,22,36,40,37,9,7,0,8,0,10,50,61,78,79,49,53,18,18,0,16,23,17,24,43,30,33,48,46,71,54,71,87,30,27
LOC_Os01g03390.MSUR7,1210,1213,1110,1142,1199,1174,626,573,697,662,506,558,1055,1081,1190,1302,801,853,1066,1030,920,1036,1145,1183,883,908,766,744,727,755,451,374,371,394,340,319
LOC_Os01g03680.MSUR7,510,529,522,494,899,881,25,30,33,30,34,48,1062,1156,1244,1155,919,926,205,222,300,312,444,390,306,318,232,267,314,368,719,621,964,924,236,217
LOC_Os01g04300.MSUR7,9,9,15,24,22,33,0,5,0,0,0,3,35,25,43,31,29,16,19,16,18,15,39,18,20,16,18,15,19,16,57,46,63,63,27,20
LOC_Os01g04710.MSUR7,20,17,19,9,15,18,2,0,5,3,7,3,30,40,57,52,23,34,5,4,7,9,13,25,17,9,16,10,8,18,36,47,52,43,8,25
LOC_Os01g06310.MSUR7,58,80,63,69,78,74,76,58,84,75,49,22,71,65,38,35,88,82,55,43,47,35,45,35,29,24,12,23,24,17,11,13,0,4,13,14
LOC_Os01g06580.MSUR7,15,20,15,31,25,25,3,0,4,2,0,3,139,186,128,116,141,167,23,22,32,32,44,42,48,42,39,22,26,23,153,232,274,239,79,85
LOC_Os01g07030.MSUR7,14,9,10,15,21,12,0,0,0,0,0,0,17,5,19,19,3,5,11,5,10,7,23,18,10,10,10,8,20,8,22,16,41,31,7,14
LOC_Os01g07630.MSUR7,5,5,10,8,16,15,0,4,0,0,5,0,14,24,23,16,32,26,8,5,5,8,13,14,18,13,6,10,10,8,21,29,37,42,13,26
LOC_Os01g08440.MSUR7,2,9,6,3,4,8,4,3,4,3,0,8,13,8,9,7,18,9,3,3,3,2,2,0,17,0,7,8,11,13,15,22,33,20,11,4
LOC_Os01g09580.MSUR7,13,9,8,7,18,9,0,0,0,0,8,0,29,28,35,20,23,18,10,9,8,8,0,9,12,10,13,15,8,19,16,20,26,31,16,19
LOC_Os01g09880.MSUR7,27,36,32,41,45,29,7,7,7,7,7,11,146,129,172,129,137,107,13,12,20,16,40,40,36,37,36,28,30,42,170,141,218,226,62,65
LOC_Os01g11010.MSUR7,10,11,18,20,30,25,3,2,2,3,2,3,33,38,39,43,24,35,3,2,3,2,8,7,14,15,13,12,15,7,25,21,42,35,8,9
LOC_Os01g12110.MSUR7,6,8,11,14,13,0,3,0,0,0,4,0,15,19,25,30,11,19,4,3,12,5,7,6,7,19,7,8,7,15,10,10,9,10,14,11
LOC_Os01g13610.MSUR7,77,72,60,65,83,57,91,118,147,121,98,109,63,53,11,19,64,59,230,203,219,222,200,244,140,146,124,112,176,150,51,46,52,43,68,49
LOC_Os01g14140.MSUR7,24,27,13,20,34,24,0,3,0,5,7,4,38,34,53,57,34,38,11,17,16,19,20,27,19,18,18,8,17,22,69,50,100,76,12,26
LOC_Os01g14650.MSUR7,16,10,19,8,15,25,0,0,3,4,0,0,18,21,20,14,15,30,8,9,8,10,19,12,11,12,0,8,11,9,23,29,38,40,8,15
LOC_Os01g14670.MSUR7,140,127,163,139,200,171,26,36,37,23,30,34,337,356,382,383,344,324,70,40,80,77,88,89,79,86,55,55,63,83,243,236,298,326,120,131
LOC_Os01g14880.MSUR7,9,6,3,5,5,6,5,0,0,4,2,1,5,13,3,6,6,12,2,2,0,2,2,1,15,8,7,6,7,5,15,22,21,18,10,8
LOC_Os01g15320.MSUR7,182,218,170,199,260,241,44,44,51,37,44,55,584,633,604,559,591,552,148,97,133,110,187,165,184,177,149,152,154,178,528,490,745,768,281,246
LOC_Os01g15830.MSUR7,335,393,336,338,531,505,94,94,97,82,92,80,925,997,1034,1056,861,829,337,337,480,448,676,701,652,689,563,526,669,643,1220,1168,1758,1750,602,562
LOC_Os01g16030.MSUR7,61,0,36,33,65,77,3,13,0,11,10,7,115,126,189,185,143,124,16,16,25,27,29,46,63,43,42,36,45,42,138,146,209,180,67,47
