gene,IR1_S64_1,IR1_S64_2,IR2_S65_1,IR2_S65_2,IR3_S66_1,IR3_S66_2,IR4_S67_1,IR4_S67_2,IR5_S68_1,IR5_S68_2,IR6_S69_1,IR6_S69_2,RN1_S55_1,RN1_S55_2,RN2_S56_1,RN2_S56_2,RN3_S57_1,RN3_S57_2,RN4_S58_1,RN4_S58_2,RN5_S59_1,RN5_S59_2,RN6_S60_1,RN6_S60_2,HE4_S165_1,HE4_S165_2,HE5_S166_1,HE5_S166_2,HE6_S167_1,HE6_S167_2
gene-SHERM_00675,4,0,0,7,0,0,0,2,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,17,25,25,27,21,0
gene-SHERM_00711,24,20,26,24,27,0,0,17,24,12,0,32,21,25,18,25,27,31,0,0,12,10,12,0,127,126,112,131,43,46
gene-SHERM_00701,24,25,9,10,30,22,6,9,0,0,5,10,25,13,22,23,12,24,0,11,11,0,10,0,74,52,76,75,22,44
gene-SHERM_00718,2,2,3,4,0,2,0,0,0,0,0,0,3,2,0,4,3,2,0,3,2,0,8,3,8,5,3,7,7,4
gene-SHERM_00740,21,25,23,19,25,27,13,7,12,9,22,30,36,34,24,36,38,34,28,14,22,24,27,27,7,15,13,17,23,19
gene-SHERM_00762,10,0,4,0,4,0,0,4,3,3,0,0,7,0,0,0,0,7,0,0,0,0,0,0,14,13,26,25,0,0
gene-SHERM_00819,13,18,13,13,14,12,30,32,13,23,54,47,17,17,11,11,0,15,21,32,17,17,21,25,25,31,29,22,10,14
gene-SHERM_00826,17,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,8,0,6,0,25,26,22,28,18,20
gene-SHERM_00834,0,0,0,14,11,15,0,0,0,0,0,0,0,0,12,22,14,19,0,0,0,0,0,0,26,34,29,37,17,12
gene-SHERM_00846,0,0,0,10,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,30,44,56,61,27,20
gene-SHERM_00854,5,0,0,5,0,0,0,0,0,4,7,5,5,3,0,5,3,4,0,3,5,0,5,0,38,37,52,65,36,17
gene-SHERM_00886,0,11,0,8,5,0,77,74,74,72,127,120,4,4,7,10,7,0,12,15,10,19,21,19,0,0,0,0,0,0
gene-SHERM_00914,11,0,0,5,0,8,0,0,2,2,5,0,4,0,11,0,0,0,4,7,7,0,0,3,18,24,21,19,12,25
gene-SHERM_00918,470,460,549,512,687,682,457,429,355,349,342,359,299,336,261,285,378,360,446,442,347,377,290,310,300,269,251,254,105,96
gene-SHERM_00929,9,0,0,7,5,4,3,0,4,10,0,0,4,0,15,13,7,9,0,0,0,0,0,0,43,38,44,54,31,53
gene-SHERM_00939,11,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,4,0,0,22,29,33,40,18,16
gene-SHERM_09322,6,5,2,2,3,2,0,2,3,1,2,3,3,2,3,1,4,7,3,1,0,0,0,1,15,21,10,25,12,11
gene-SHERM_09382,5,0,0,0,5,7,0,0,0,0,0,3,0,0,0,0,8,0,7,0,9,0,11,0,21,18,16,18,32,39
gene-SHERM_09504,0,16,0,8,14,11,0,0,0,5,12,0,9,7,18,15,11,14,6,9,0,14,6,7,0,4,4,3,0,0
gene-SHERM_09506,0,15,0,12,6,8,9,0,0,10,15,7,0,6,0,0,10,0,10,0,5,5,8,6,0,49,35,55,17,25
gene-SHERM_09565,0,19,0,0,0,20,11,13,0,0,18,19,17,17,12,17,12,20,9,0,0,10,0,0,176,175,135,159,55,56
gene-SHERM_09574,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,8,4,4,8,9,16,0,0,0,19,23,23,15,10,12
gene-SHERM_09589,19,0,11,0,16,0,5,8,9,7,9,17,18,0,12,20,18,16,0,0,0,0,0,11,49,36,57,66,21,39
gene-SHERM_09594,3,4,0,7,7,0,0,0,9,0,10,14,10,0,7,11,0,7,0,3,0,0,0,0,22,29,22,15,14,31
gene-SHERM_09612,0,0,0,2,0,2,4,0,2,5,0,3,4,3,0,2,2,0,3,0,1,1,3,1,9,14,11,12,7,9
gene-SHERM_09673,3,7,4,0,5,7,6,0,0,0,0,0,5,0,3,7,7,0,0,0,6,6,6,0,40,44,32,36,11,16
gene-SHERM_09697,10,12,5,9,22,18,14,31,20,24,37,29,3,10,16,17,14,14,24,35,12,13,14,14,3,3,6,0,0,0
gene-SHERM_09716,22,29,24,24,30,19,11,0,0,0,25,21,19,18,25,22,33,22,0,0,8,0,0,0,87,102,88,82,30,49
gene-SHERM_09739,12,11,11,6,12,12,7,0,4,5,0,0,20,14,16,10,14,12,0,5,0,0,0,0,22,27,26,18,12,20
gene-SHERM_09788,48,50,24,32,31,42,0,0,3,0,0,0,46,46,41,46,37,41,0,0,9,7,0,5,0,7,0,6,0,0
gene-SHERM_09791,27,39,34,37,35,35,4,9,12,0,17,22,31,34,35,37,32,33,0,11,7,7,0,7,195,175,152,127,52,59
gene-SHERM_09794,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,3,0,7,0,18,18,29,26,16,19
gene-SHERM_09820,30,34,24,23,26,24,0,11,10,12,8,16,27,16,17,24,25,27,6,0,5,0,8,0,76,92,66,70,20,21
gene-SHERM_09853,0,21,26,18,24,13,14,0,11,5,0,31,22,21,25,26,33,16,0,9,0,0,0,0,67,74,79,67,34,36
gene-SHERM_09932,8,13,5,6,10,11,21,19,27,20,41,60,16,6,13,12,6,13,12,12,25,23,20,19,23,15,27,19,2,7
gene-SHERM_09952,2,2,3,3,2,5,3,8,4,4,16,13,0,0,4,1,3,0,2,0,0,0,0,2,0,0,0,0,0,0
gene-SHERM_09959,0,83,0,76,0,97,0,0,0,0,0,46,75,66,0,56,87,0,42,57,0,45,0,35,511,472,477,415,149,199
gene-SHERM_09979,3,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,13,13,16,14,20,16
gene-SHERM_09993,9,9,10,0,0,6,5,3,4,0,5,4,0,3,0,0,0,0,10,13,0,7,0,0,23,26,21,23,17,14
gene-SHERM_09994,11,12,0,10,0,5,0,0,0,0,3,0,0,5,0,5,0,0,0,7,0,0,0,0,43,35,30,21,11,12
gene-SHERM_09997,75,100,70,76,85,77,31,23,40,43,62,62,119,131,134,137,96,116,34,40,40,39,31,45,41,34,54,44,18,19
gene-SHERM_10031,14,0,17,0,22,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,0,0,46,41,45,52,26,33
gene-SHERM_10058,14,12,14,13,17,9,5,6,8,7,19,18,15,11,15,16,19,13,8,0,0,0,0,0,83,73,71,87,47,29
gene-SHERM_10059,9,7,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,13,12,21,16,19,23
gene-SHERM_10061,32,46,31,33,33,0,0,0,0,0,0,0,26,28,40,42,25,32,0,0,0,0,0,0,0,0,0,0,0,0
gene-SHERM_10073,190,210,171,166,209,187,73,96,81,80,148,143,224,184,247,235,256,228,92,91,90,83,76,80,81,72,97,96,35,34
